word1,word2,type
unzip, extract, s
zip, compress, s
to, convert, s
to, 2, s
util, helper, s
begins, init, s
create, new, s
make, new, s
check, if, s
test, if, s
exceeds, greater, s
check, is, s
full, max, s
create, clone, s
save, output, s
dumps, export, s
add, plus, s
remove, cleanup, s
same, equal, s
delete, remove, s
start, begin, s
make, create, s
add, append, s
determine, check, s
write, save, s
display, show, s
nothing, null, s
last, end, s
first, start, s
clone, copy, s
create, construct, s
new, make, s
node, entry, s
token, element, s
copy, instance, s
link, reference, s
search, find, s
give, specify, s
entry, element, s
append, insert, s
value, element, s
get, return, s
node, element, s
node, token, s
or, either, s
soft, weak, s
error, warning, s
node, value, s
identity, reference, s
zip, unzip, a
pack, unpack, a
tar, untar, a
decompress, unzip, s
legal, illegal, a
bounded, unbounded, a
uncompress, unzip, s
disabled, off, s
interrupt, irq, s
call, invoke, s
mounted, accessible, s
size, capacity, s
associate, map, s
mask, disable, s
initialize, setup, s
add, alloc, s
int, integer, b
impl, implement, b
obj, object, b
pos, position, b
init, initial, b
len, length, b
attr, attribute, b
num, number, b
env, environment, b
val, value, b
str, string, b
buff, buffer, b
ctx, context, b
msg, message, b
var, variable, b
elem, element, b
param, parameter, b
decl, declare, b
arg, argument, b
